timestep	potential_energy	temperature
0	-1586001.251	0
10000	-1589772.317	1.043972031
20000	-1590226.765	0.9618651572
30000	-1590300.058	1.019967645
40000	-1590470.083	1.086174427
50000	-1590514.674	0.9969198434
60000	-1590503.132	0.9974892784
70000	-1590471.973	0.980023674
80000	-1590535.625	1.032392774
90000	-1590572.558	0.9696379678
100000	-1590493.161	1.001904261
110000	-1590516.619	1.010000393
120000	-1590612.368	1.053993648
130000	-1590532.741	1.020154301
140000	-1590567.61	1.02840088
150000	-1590574.228	0.9550246139
160000	-1590567.889	1.011667378
170000	-1590591.863	1.02544979
180000	-1590578.749	0.9376341178
190000	-1590585.268	0.9998236259
200000	-1590616.449	0.9520983372
210000	-1590562.824	1.036121946
220000	-1590509.837	0.992186962
230000	-1590536.561	1.077172693
240000	-1590547.518	1.022477438
250000	-1590560.248	1.066198896
260000	-1590597.979	1.048665372
270000	-1590599.183	0.9669173251
280000	-1590523.64	0.9425695567
290000	-1590527.657	1.008755207
300000	-1590592.763	1.048834482
310000	-1590542.101	0.9746345622
320000	-1590530.645	1.042890695
330000	-1590480.372	0.9970755782
340000	-1590549.495	0.9837830795
350000	-1590549.075	1.012781719
360000	-1590585.365	0.9220283638
370000	-1590531.538	1.002164999
380000	-1590561.952	0.9787519847
390000	-1590614.132	1.052949889
400000	-1590602.966	0.9493278368
410000	-1590507.447	0.9779709461
420000	-1590543.291	0.9775341671
430000	-1590541.112	1.01395391
440000	-1590563.896	1.011214175
450000	-1590518.718	0.9675377798
460000	-1590588.365	1.015625037
470000	-1590499.541	1.053993775
480000	-1590556.276	1.088388729
490000	-1590536.682	0.977691439
500000	-1590613.918	0.9063284783
510000	-1590552.198	0.9813139232
520000	-1590512.135	0.9216727986
530000	-1590580.528	0.9952851707
540000	-1590518.387	1.076507631
550000	-1590571.61	0.9956297628
560000	-1590573.395	0.9582437956
570000	-1590569.259	0.9939387792
580000	-1590579.692	0.965786521
590000	-1590504.336	0.9441301391
600000	-1590552.81	1.020378815
610000	-1590553.471	1.026727714
620000	-1590527.187	0.9625930159
630000	-1590533.451	1.015831327
640000	-1590547.452	1.023926874
650000	-1590572.804	0.9586006836
660000	-1590533.155	1.00576737
670000	-1590560.353	0.996115997
680000	-1590569.256	1.038887635
690000	-1590518.146	1.035093275
700000	-1590587.774	0.9342127535
710000	-1590562.795	1.029499312
720000	-1590580.251	1.024987118
730000	-1590555.187	1.00483463
740000	-1590566.503	0.9970111031
750000	-1590518.684	1.100212535
760000	-1590576.809	1.065018747
770000	-1590557.126	0.9243385197
780000	-1590551.943	1.010610105
790000	-1590524.59	1.039313739
800000	-1590537.474	1.085212971
810000	-1590570.799	0.9834415716
820000	-1590589.769	0.9223945422
830000	-1590567.704	0.9695526554
840000	-1590505.05	1.031195085
850000	-1590538.222	1.07153157
860000	-1590524.831	0.9602587549
870000	-1590552.552	0.9641012477
880000	-1590577.816	1.01955852
890000	-1590595.581	1.005975934
900000	-1590535.483	0.9524642094
910000	-1590534.867	0.9969662364
920000	-1590619.535	1.01152057
930000	-1590591.652	1.003865746
940000	-1590564.687	1.018070325
950000	-1590530.074	1.032397685
960000	-1590579.372	1.052203297
970000	-1590575.389	1.014379369
980000	-1590514.976	1.11772299
990000	-1590603.449	1.029432783
1000000	-1590584.309	0.9970346124
1010000	-1590556.954	0.9939920212
1020000	-1590591.085	1.023797732
1030000	-1590544.405	1.070062206
1040000	-1590595.997	0.9873925005
1050000	-1590594.293	1.007783979
1060000	-1590476.129	0.9627172235
1070000	-1590536.671	0.9967715546
1080000	-1590512.547	0.994880199
1090000	-1590573.3	1.034271351
1100000	-1590499.744	0.9949299353
1110000	-1590563.024	1.051687105
1120000	-1590589.546	0.9529882617
1130000	-1590520.888	0.9503978963
1140000	-1590513.379	0.9951862431
1150000	-1590542.544	0.9782432759
1160000	-1590525.444	0.9485514274
1170000	-1590594.703	1.040278238
1180000	-1590574.281	1.00304897
1190000	-1590580.793	1.023305982
1200000	-1590535.664	0.9547440965
