timestep	potential_energy	temperature
0	-996598.5472	0
100	-996584.4214	1.285662177
200	-996584.4213	1.306025212
300	-996570.9172	1.089551376
400	-996558.4256	0.7834348463
500	-996578.5724	0.9745141648
600	-996570.9222	1.078028842
700	-996576.5404	1.201106859
800	-996573.652	1.313794094
900	-996575.0442	1.02492058
1000	-996577.4969	1.095268687
1100	-996579.821	1.319993469
1200	-996575.8	1.171043951
1300	-996579.1129	0.7445334172
1400	-996578.8053	0.852607435
1500	-996550.7707	0.6845790843
1600	-996574.6776	1.299541981
1700	-996574.7954	0.7985206149
1800	-996578.345	0.7589857169
1900	-996574.5678	1.088368878
2000	-996580.712	1.215914528
2100	-996584.3692	1.288554258
2200	-996579.5344	0.8881150719
2300	-996565.0788	0.9169950594
2400	-996578.3832	1.152714857
2500	-996576.7785	1.185774224
2600	-996578.2421	1.625423928
2700	-996579.7034	0.9909202024
2800	-996572.4738	0.953029524
2900	-996581.0463	0.70232649
3000	-996583.2999	1.325139101
3100	-996566.9594	1.627629336
3200	-996577.9721	1.119137366
3300	-996579.4221	1.209823845
3400	-996575.79	0.9509308699
3500	-996566.5638	0.8344142223
3600	-996580.1034	0.8060448169
3700	-996558.6403	0.9473112256
3800	-996567.957	1.451178886
3900	-996581.2453	0.9160710702
4000	-996574.5013	0.8809030216
4100	-996567.9201	1.068490616
4200	-996582.0559	1.253727547
4300	-996584.8833	1.061591951
4400	-996577.8187	0.9614099755
4500	-996580.6359	0.8677871724
4600	-996571.3873	0.722924316
4700	-996574.261	1.143952458
4800	-996582.4805	0.8016368107
4900	-996582.2417	1.511765053
5000	-996582.501	1.300309615
5100	-996581.8608	1.310837851
5200	-996580.5412	1.187014199
5300	-996582.5527	1.09476236
5400	-996577.7558	0.6590612277
5500	-996576.3973	1.105099245
5600	-996575.1763	0.8659885269
5700	-996576.3381	1.012316515
5800	-996574.8878	1.050427061
5900	-996587.2202	1.035922347
6000	-996575.6804	0.6339194348
6100	-996571.4917	0.8359991117
6200	-996561.7831	1.024242277
6300	-996577.3278	1.044384954
6400	-996571.2844	1.140801367
6500	-996579.9953	0.8554656776
6600	-996577.4772	0.9406825657
6700	-996576.9165	0.9936899658
6800	-996571.3261	1.014942999
6900	-996582.7889	0.9607389372
7000	-996579.8613	1.200028786
7100	-996581.8455	1.083327542
7200	-996577.7736	0.905477555
7300	-996585.1152	1.608239351
7400	-996582.6441	1.159813488
7500	-996560.4907	1.426521404
7600	-996575.5718	1.024285318
7700	-996570.8529	0.7605604809
7800	-996585.4334	0.9352889706
7900	-996585.5579	0.8002401005
