timestep	potential_energy	temperature
0	-15914.14922	0
1000	-15913.31699	0.03787483216
2000	-15908.79433	0.02390358721
3000	-15905.65307	0.0004047924651
4000	-15907.69734	0.008387033537
5000	-15910.55718	0.005682853161
6000	-15911.50639	0.0002117413232
7000	-15910.93791	0.00186452156
8000	-15909.76707	0.001328023026
9000	-15909.13479	5.917821077e-05
10000	-15909.45857	0.0003999709812
11000	-15910.06369	0.0003007220035
12000	-15910.33396	1.192983183e-05
13000	-15910.20679	8.353908612e-05
14000	-15909.93755	6.730858294e-05
15000	-15909.79733	2.00644904e-06
16000	-15909.85888	1.735525989e-05
17000	-15909.99326	1.522427761e-05
18000	-15910.06089	5.547265875e-07
19000	-15910.03773	3.758813831e-06
20000	-15909.97953	3.521593467e-06
21000	-15909.94601	1.973740659e-07
22000	-15909.95806	8.275339069e-07
23000	-15909.98728	8.191202374e-07
24000	-15910.00244	5.949407047e-08
25000	-15909.99849	1.785416478e-07
26000	-15909.98608	1.871653261e-07
27000	-15909.97791	1.502256784e-08
28000	-15909.97999	3.786386266e-08
29000	-15909.98623	4.242409829e-08
30000	-15909.99032	4.128336868e-09
31000	-15909.98833	8.556497592e-09
32000	-15909.98614	1.031833887e-08
33000	-15909.98405	1.884517096e-09
34000	-15909.98405	2.730005241e-09
35000	-15909.98603	3.287347601e-09
36000	-15909.9861	1.414439196e-09
37000	-15909.98606	1.557605588e-09
38000	-15909.98599	1.705227878e-09
39000	-15909.98593	1.284684733e-09
40000	-15909.98593	1.302528677e-09
41000	-15909.98596	1.338440592e-09
42000	-15909.98597	1.243759126e-09
43000	-15909.98597	1.244423095e-09
44000	-15909.98596	1.253065631e-09
45000	-15909.98594	1.231635675e-09
46000	-15909.98595	1.230821965e-09
47000	-15909.98595	1.232671732e-09
48000	-15909.98596	1.227603709e-09
49000	-15909.98596	1.226943799e-09
50000	-15909.98596	1.227040335e-09
51000	-15909.98595	1.225544121e-09
52000	-15909.98595	1.224983955e-09
53000	-15909.98596	1.224628907e-09
54000	-15909.98596	1.223910137e-09
55000	-15909.98596	1.223388725e-09
56000	-15909.98596	1.222922082e-09
57000	-15909.98596	1.222373121e-09
58000	-15909.98596	1.221865835e-09
59000	-15909.98596	1.221372935e-09
60000	-15909.98596	1.220861516e-09
61000	-15909.98596	1.2203589e-09
62000	-15909.98596	1.219859899e-09
63000	-15909.98596	1.219356731e-09
64000	-15909.98596	1.218855373e-09
65000	-15909.98596	1.218354888e-09
66000	-15909.98596	1.217853448e-09
67000	-15909.98596	1.217352358e-09
68000	-15909.98596	1.216851463e-09
69000	-15909.98596	1.216350336e-09
70000	-15909.98596	1.215849261e-09
71000	-15909.98596	1.215348217e-09
72000	-15909.98596	1.214847103e-09
73000	-15909.98596	1.214345983e-09
74000	-15909.98596	1.213844854e-09
75000	-15909.98596	1.213343693e-09
76000	-15909.98596	1.212842514e-09
77000	-15909.98596	1.212341318e-09
78000	-15909.98596	1.211840098e-09
79000	-15909.98596	1.21133886e-09
80000	-15909.98596	1.210837601e-09
81000	-15909.98596	1.210336323e-09
82000	-15909.98596	1.209835026e-09
83000	-15909.98596	1.209333709e-09
84000	-15909.98596	1.208832374e-09
85000	-15909.98596	1.208331021e-09
86000	-15909.98596	1.207829649e-09
